word,cefr,part_of_speech
the,A1,other
of,A1,other
and,A1,other
to,A1,other
in,A1,other
is,A1,other
you,A1,other
it,A1,other
that,A1,other
he,A1,other
was,A1,other
for,A1,other
on,A1,other
are,A1,other
as,A1,other
with,A1,other
his,A1,other
they,A1,other
at,A1,other
be,A1,other
this,A1,other
have,A1,other
from,A1,other
or,A1,other
one,A1,other
had,A1,other
by,A1,other
word,A1,other
but,A1,other
not,A1,other
what,A1,other
all,A1,other
were,A1,other
we,A1,other
when,A1,other
your,A1,other
can,A1,other
said,A1,other
there,A1,other
use,A1,other
an,A1,other
each,A1,other
which,A1,other
she,A1,other
do,A1,other
how,A1,other
their,A1,other
if,A1,other
will,A1,other
up,A1,other
other,A1,other
about,A1,other
out,A1,other
many,A1,other
then,A1,other
them,A1,other
these,A1,other
so,A1,other
some,A1,other
her,A1,other
would,A1,other
make,A1,other
like,A1,other
him,A1,other
into,A1,other
time,A1,other
has,A1,other
look,A1,other
two,A1,other
more,A1,other
write,A1,other
go,A1,other
see,A1,other
number,A1,other
no,A1,other
way,A1,other
could,A1,other
people,A1,other
my,A1,other
than,A1,other
first,A1,other
water,A1,other
been,A1,other
call,A1,other
who,A1,other
oil,A1,other
its,A1,other
now,A1,other
find,A1,other
long,A1,other
down,A1,other
day,A1,other
did,A1,other
get,A1,other
come,A1,other
made,A1,other
may,A1,other
part,A1,other
away,A1,other
big,A1,other
blue,A1,other
funny,A1,other
help,A1,other
here,A1,other
jump,A1,other
little,A1,other
me,A1,other
play,A1,other
red,A1,other
run,A1,other
three,A1,other
where,A1,other
yellow,A1,other
aaa,A1,other
aaberg,A1,other
aachen,A1,other
aachener,A1,other
aaker,A1,other
aalborg,A1,other
aalburg,A1,other
aalen,A1,other
aaliyah,A1,other
aalseth,A1,other
aalsmeer,A1,other
aalto,A1,other
aamodt,A1,other
aancor,A1,other
aardema,A1,other
aardvark,A1,other
aardvarks,A1,other
aargh,A1,other
aarhus,A1,other
aaron,A1,other
aarons,A1,other
aaronson,A1,other
aarti,A1,other
aase,A1,other
aasen,A1,other
ab,A1,other
aba,A1,other
ababa,A1,other
abacha,A1,other
aback,A1,other
abaco,A1,other
abacus,A1,other
abad,A1,other
abadaka,A1,other
abadi,A1,other
abadie,A1,other
abair,A1,other
abalkin,A1,other
abalone,A1,other
abalones,A1,other
abalos,A1,other
abandon,A1,other
abandoned,A1,other
abandoning,A1,other
abandons,A1,other
abanto,A1,other
abarca,A1,other
abare,A1,other
abascal,A1,other
abash,A1,other
abashed,A1,other
abasia,A1,other
abate,A1,other
abated,A1,other
abatement,A1,other
abatements,A1,other
abates,A1,other
abating,A1,other
abattoir,A1,other
abba,A1,other
abbado,A1,other
abbas,A1,other
abbasi,A1,other
abbate,A1,other
abbatiello,A1,other
abbe,A1,other
abbenhaus,A1,other
abbett,A1,other
abbeville,A1,other
abbey,A1,other
abbie,A1,other
abbitt,A1,other
abbot,A1,other
abbotstown,A1,other
abbott,A1,other
abboud,A1,other
abbreviate,A1,other
abbruzzese,A1,other
abbs,A1,other
abby,A1,other
abc,A1,other
abco,A1,other
abcotek,A1,other
abcs,A1,other
abd,A1,other
abdalla,A1,other
abdallah,A1,other
abdel,A1,other
abdella,A1,other
abdicate,A1,other
abdicated,A1,other
abdicates,A1,other
abdicating,A1,other
abdication,A1,other
abdnor,A1,other
abdo,A1,other
abdollah,A1,other
abdomen,A1,other
abdominal,A1,other
abduct,A1,other
abducted,A1,other
abductee,A1,other
abductees,A1,other
abducting,A1,other
abduction,A1,other
abductions,A1,other
abductor,A1,other
abductors,A1,other
abducts,A1,other
abdul,A1,other
abdulaziz,A1,other
abdulla,A1,other
abdullah,A1,other
abe,A1,other
abed,A1,other
abedi,A1,other
abee,A1,other
abel,A1,other
abela,A1,other
abelard,A1,other
abele,A1,other
abeles,A1,other
abell,A1,other
abella,A1,other
abeln,A1,other
abelow,A1,other
abels,A1,other
abelson,A1,other
abend,A1,other
abendroth,A1,other
aber,A1,other
aberdeen,A1,other
aberford,A1,other
aberg,A1,other
aberle,A1,other
abermin,A1,other
abernathy,A1,other
abernethy,A1,other
aberrant,A1,other
aberration,A1,other
abert,A1,other
abet,A1,other
abetted,A1,other
abetting,A1,other
abex,A1,other
abeyance,A1,other
abeyta,A1,other
abhor,A1,other
abhorred,A1,other
abhorrence,A1,other
abhorrent,A1,other
abhors,A1,other
abiam,A1,other
abid,A1,other
abide,A1,other
abided,A1,other
abides,A1,other
abiding,A1,other
abidjan,A1,other
abie,A1,other
abigail,A1,other
abila,A1,other
abilene,A1,other
abilities,A1,other
ability,A1,other
abimael,A1,other
abimaels,A1,other
abingdon,A1,other
abington,A1,other
abio,A1,other
abiola,A1,other
abiomed,A1,other
abiquiu,A1,other
abitibi,A1,other
abitz,A1,other
abject,A1,other
abkhazia,A1,other
abkhazian,A1,other
abkhazians,A1,other
ablate,A1,other
ablation,A1,other
ablaze,A1,other
able,A1,other
abled,A1,other
abler,A1,other
ables,A1,other
ablest,A1,other
abloom,A1,other
ablution,A1,other
ablutions,A1,other
ably,A1,other
abnegation,A1,other
abner,A1,other
abney,A1,other
abnormal,A1,other
abnormally,A1,other
abo,A1,other
aboard,A1,other
abode,A1,other
abohalima,A1,other
abolish,A1,other
abolished,A1,other
abolishes,A1,other
abolishing,A1,other
abolition,A1,other
abominable,A1,other
abood,A1,other
aboodi,A1,other
abor,A1,other
aboriginal,A1,other
aborigine,A1,other
aborigines,A1,other
aborn,A1,other
abort,A1,other
aborted,A1,other
aborting,A1,other
abortion,A1,other
abortions,A1,other
abortive,A1,other
aborts,A1,other
abott,A1,other
abou,A1,other
aboud,A1,other
abouhalima,A1,other
abound,A1,other
abounded,A1,other
abounding,A1,other
abounds,A1,other
above,A1,other
aboveboard,A1,other
abplanalp,A1,other
abra,A1,other
abrade,A1,other
abraded,A1,other
abrades,A1,other
abraham,A1,other
abrahamian,A1,other
abrahams,A1,other
abrahamsen,A1,other
abrahamson,A1,other
abram,A1,other
abramczyk,A1,other
abramo,A1,other
abramovitz,A1,other
abramowicz,A1,other
abramowitz,A1,other
abrams,A1,other
abramson,A1,other
abrasion,A1,other
abrasions,A1,other
abrasive,A1,other
abrasives,A1,other
abraxa,A1,other
abraxas,A1,other
abreast,A1,other
abrego,A1,other
abreu,A1,other
abridge,A1,other
abridged,A1,other
abridges,A1,other
abridging,A1,other
abril,A1,other
abroad,A1,other
abrogate,A1,other
abrogated,A1,other
abrogating,A1,other
abrogation,A1,other
abrol,A1,other
abron,A1,other
abrupt,A1,other
abruptly,A1,other
abruptness,A1,other
abrutyn,A1,other
abruzzese,A1,other
abruzzo,A1,other
abs,A1,other
absalom,A1,other
absaraka,A1,other
abscam,A1,other
abscess,A1,other
abscond,A1,other
absconded,A1,other
absconding,A1,other
absconds,A1,other
absecon,A1,other
absence,A1,other
absences,A1,other
absent,A1,other
absentee,A1,other
absentees,A1,other
absentia,A1,other
absher,A1,other
abshier,A1,other
abshire,A1,other
absinthe,A1,other
abso,A1,other
absolom,A1,other
absolut,A1,other
absolute,A1,other
absolutely,A1,other
absolutes,A1,other
absolution,A1,other
absolutism,A1,other
absolutist,A1,other
absolve,A1,other
absolved,A1,other
absolves,A1,other
absolving,A1,other
absorb,A1,other
absorbed,A1,other
absorbency,A1,other
absorbent,A1,other
absorber,A1,other
absorbers,A1,other
absorbing,A1,other
absorbs,A1,other
absorption,A1,other
abstain,A1,other
abstained,A1,other
abstaining,A1,other
abstention,A1,other
abstinence,A1,other
abstinent,A1,other
abston,A1,other
abstract,A1,other
abstracted,A1,other
abstracts,A1,other
abstruse,A1,other
absurd,A1,other
absurdist,A1,other
absurdity,A1,other
absurdly,A1,other
abt,A1,other
abts,A1,other
abu,A1,other
abudrahm,A1,other
abuellah,A1,other
abuladze,A1,other
abundance,A1,other
abundant,A1,other
abundantly,A1,other
aburto,A1,other
abuse,A1,other
abused,A1,other
abuser,A1,other
abusers,A1,other
abuses,A1,other
abusing,A1,other
abusive,A1,other
abut,A1,other
abuts,A1,other
abutted,A1,other
abutting,A1,other
abuzz,A1,other
abysmal,A1,other
abysmally,A1,other
abyss,A1,other
abyssinia,A1,other
abyssinian,A1,other
abzug,A1,other
ac,A1,other
aca,A1,other
acacia,A1,other
academe,A1,other
academia,A1,other
academic,A1,other
academics,A1,other
academies,A1,other
academy,A1,other
acadia,A1,other
acaena,A1,other
acampo,A1,other
acampora,A1,other
acampsia,A1,other
acantha,A1,other
acapulco,A1,other
acary,A1,other
acc,A1,other
accardi,A1,other
accardo,A1,other
accede,A1,other
acceded,A1,other
accedes,A1,other
acceding,A1,other
accel,A1,other
accelerant,A1,other
accelerate,A1,other
accent,A1,other
accented,A1,other
accenting,A1,other
accents,A1,other
accentuate,A1,other
accenture,A1,other
accept,A1,other
acceptable,A1,other
acceptably,A1,other
acceptance,A1,other
accepted,A1,other
accepting,A1,other
accepts,A1,other
access,A1,other
accessed,A1,other
accessible,A1,other
accessing,A1,other
accession,A1,other
accessory,A1,other
accetta,A1,other
accident,A1,other
accidental,A1,other
accidently,A1,other
accidents,A1,other
accion,A1,other
accival,A1,other
acclaim,A1,other
acclaimed,A1,other
acclaiming,A1,other
acclaims,A1,other
acclimate,A1,other
acclimated,A1,other
acco,A1,other
accokeek,A1,other
accola,A1,other
accolade,A1,other
accolades,A1,other
accomando,A1,other
accompany,A1,other
accompli,A1,other
accomplice,A1,other
accomplish,A1,other
accor,A1,other
accord,A1,other
accordance,A1,other
accorded,A1,other
according,A1,other
accordion,A1,other
accordions,A1,other
accords,A1,other
accost,A1,other
accosted,A1,other
accosting,A1,other
account,A1,other
accountant,A1,other
accounted,A1,other
accountemp,A1,other
accounting,A1,other
accounts,A1,other
accra,A1,other
accredit,A1,other
accredited,A1,other
accreted,A1,other
accretion,A1,other
accrual,A1,other
accruals,A1,other
accrue,A1,other
accrued,A1,other
accrues,A1,other
accruing,A1,other
accu,A1,other
accuhealth,A1,other
accumulate,A1,other
accuracies,A1,other
accuracy,A1,other
accurate,A1,other
accurately,A1,other
accuray,A1,other
accuride,A1,other
accursed,A1,other
accurso,A1,other
accusation,A1,other
accusative,A1,other
accusatory,A1,other
accuse,A1,other
accused,A1,other
accuser,A1,other
accusers,A1,other
accuses,A1,other
accusing,A1,other
accusingly,A1,other
accustom,A1,other
accustomed,A1,other
accutane,A1,other
ace,A1,other
acecomm,A1,other
aced,A1,other
acer,A1,other
acerbic,A1,other
acero,A1,other
acerra,A2,other
aces,A2,other
acetate,A2,other
acetic,A2,other
aceto,A2,other
acetochlor,A2,other
acetone,A2,other
acetylene,A2,other
acevedo,A2,other
aceves,A2,other
acey,A2,other
ach,A2,other
achaean,A2,other
achatz,A2,other
ache,A2,other
achebe,A2,other
ached,A2,other
achee,A2,other
achenbach,A2,other
achenbaum,A2,other
achene,A2,other
achenes,A2,other
aches,A2,other
acheson,A2,other
achesons,A2,other
achey,A2,other
achieva,A2,other
achievable,A2,other
achieve,A2,other
achieved,A2,other
achiever,A2,other
achievers,A2,other
achieves,A2,other
achieving,A2,other
achill,A2,other
achille,A2,other
achilles,A2,other
aching,A2,other
achingly,A2,other
achmed,A2,other
achoa,A2,other
achoo,A2,other
achor,A2,other
achord,A2,other
achorn,A2,other
achtenberg,A2,other
achterberg,A2,other
achy,A2,other
acid,A2,other
acidic,A2,other
acidified,A2,other
acidifies,A2,other
acidify,A2,other
acidity,A2,other
acidly,A2,other
acidosis,A2,other
acids,A2,other
aciduria,A2,other
acierno,A2,other
ack,A2,other
acker,A2,other
ackerley,A2,other
ackerly,A2,other
ackerman,A2,other
ackermann,A2,other
ackerson,A2,other
ackert,A2,other
ackhouse,A2,other
ackland,A2,other
ackles,A2,other
ackley,A2,other
acklin,A2,other
ackman,A2,other
ackroyd,A2,other
acm,A2,other
acmat,A2,other
acme,A2,other
acne,A2,other
acocella,A2,other
acoff,A2,other
acog,A2,other
acolyte,A2,other
acolytes,A2,other
acomb,A2,other
acord,A2,other
acordia,A2,other
acorn,A2,other
acorns,A2,other
acosta,A2,other
acott,A2,other
acoustic,A2,other
acoustical,A2,other
acoustics,A2,other
acquaint,A2,other
acquainted,A2,other
acquaviva,A2,other
acquiesce,A2,other
acquiesced,A2,other
acquire,A2,other
acquired,A2,other
acquirer,A2,other
acquirers,A2,other
acquires,A2,other
acquiring,A2,other
acquit,A2,other
acquitaine,A2,other
acquits,A2,other
acquittal,A2,other
acquittals,A2,other
acquitted,A2,other
acquitting,A2,other
acre,A2,other
acreage,A2,other
acree,A2,other
acres,A2,other
acrey,A2,other
acri,A2,other
acrid,A2,other
acrimony,A2,other
acro,A2,other
acrobat,A2,other
acrobatic,A2,other
acrobatics,A2,other
acrobats,A2,other
acrolein,A2,other
acronym,A2,other
acronyms,A2,other
acropolis,A2,other
across,A2,other
acrylic,A2,other
acrylics,A2,other
act,A2,other
acta,A2,other
actava,A2,other
actavas,A2,other
acted,A2,other
actel,A2,other
actigall,A2,other
actin,A2,other
acting,A2,other
actinide,A2,other
actinidia,A2,other
action,A2,other
actionable,A2,other
actions,A2,other
activase,A2,other
activate,A2,other
activated,A2,other
activates,A2,other
activating,A2,other
activation,A2,other
activator,A2,other
active,A2,other
actively,A2,other
actives,A2,other
activision,A2,other
activism,A2,other
activist,A2,other
activists,A2,other
activities,A2,other
activity,A2,other
actmedia,A2,other
actodine,A2,other
acton,A2,other
actor,A2,other
actors,A2,other
actress,A2,other
actresses,A2,other
acts,A2,other
actual,A2,other
actuality,A2,other
actualize,A2,other
actually,A2,other
actuarial,A2,other
actuaries,A2,other
actuary,A2,other
actuate,A2,other
actuator,A2,other
actuators,A2,other
actus,A2,other
acuff,A2,other
acuity,A2,other
acumen,A2,other
acuna,A2,other
acura,A2,other
acuras,A2,other
acuson,A2,other
acustar,A2,other
acusyst,A2,other
acute,A2,other
acutely,A2,other
acuteness,A2,other
acyclovir,A2,other
ad,A2,other
ada,A2,other
adabel,A2,other
adabelle,A2,other
adachi,A2,other
adage,A2,other
adagio,A2,other
adah,A2,other
adair,A2,other
adaire,A2,other
adak,A2,other
adalah,A2,other
adalia,A2,other
adam,A2,other
adamant,A2,other
adamantly,A2,other
adamcik,A2,other
adamczak,A2,other
adamczyk,A2,other
adame,A2,other
adamec,A2,other
adamek,A2,other
adames,A2,other
adami,A2,other
adamik,A2,other
adamina,A2,other
adamkus,A2,other
adamo,A2,other
adamowicz,A2,other
adams,A2,other
adamski,A2,other
adamson,A2,other
adamstown,A2,other
adan,A2,other
adapso,A2,other
adapt,A2,other
adaptable,A2,other
adaptaplex,A2,other
adaptation,A2,other
adaptec,A2,other
adapted,A2,other
adapter,A2,other
adapters,A2,other
adapting,A2,other
adaptive,A2,other
adaptor,A2,other
adaptors,A2,other
adapts,A2,other
adar,A2,other
adarand,A2,other
adare,A2,other
adas,A2,other
aday,A2,other
adaza,A2,other
adblock,A2,other
adcock,A2,other
adcox,A2,other
add,A2,other
addair,A2,other
addams,A2,other
added,A2,other
addendum,A2,other
addendums,A2,other
addeo,A2,other
adder,A2,other
adderley,A2,other
addicks,A2,other
addict,A2,other
addicted,A2,other
addicting,A2,other
addiction,A2,other
addictions,A2,other
addictive,A2,other
addicts,A2,other
addidas,A2,other
addidases,A2,other
addie,A2,other
adding,A2,other
addington,A2,other
addis,A2,other
addison,A2,other
addition,A2,other
additional,A2,other
additions,A2,other
additive,A2,other
additives,A2,other
addle,A2,other
addled,A2,other
addleman,A2,other
address,A2,other
addressed,A2,other
addressee,A2,other
addresses,A2,other
addressing,A2,other
adds,A2,other
adduci,A2,other
adduct,A2,other
addwest,A2,other
addy,A2,other
addyston,A2,other
ade,A2,other
adee,A2,other
adel,A2,other
adela,A2,other
adelaar,A2,other
adelaide,A2,other
adelanto,A2,other
adelbert,A2,other
adele,A2,other
adeline,A2,other
adelizzi,A2,other
adell,A2,other
adelle,A2,other
adelman,A2,other
adelmann,A2,other
adelpha,A2,other
adelphi,A2,other
adelphia,A2,other
adelson,A2,other
adelstein,A2,other
aden,A2,other
adena,A2,other
adenauer,A2,other
adenine,A2,other
adenoid,A2,other
adenoids,A2,other
adenoscan,A2,other
adenosine,A2,other
adenovirus,A2,other
adept,A2,other
adequacy,A2,other
adequate,A2,other
adequately,A2,other
ader,A2,other
aderhold,A2,other
aderholt,A2,other
aderman,A2,other
ades,A2,other
adey,A2,other
adger,A2,other
adham,A2,other
adhd,A2,other
adhere,A2,other
adhered,A2,other
adherence,A2,other
adherent,A2,other
adherents,A2,other
adheres,A2,other
adhering,A2,other
adhesion,A2,other
adhesive,A2,other
adhesives,A2,other
adia,A2,other
adid,A2,other
adidas,A2,other
adieu,A2,other
adin,A2,other
adina,A2,other
adine,A2,other
adinolfi,A2,other
adios,A2,other
adipose,A2,other
adirondack,A2,other
adisq,A2,other
adjacent,A2,other
adjani,A2,other
adjective,A2,other
adjectives,A2,other
adjoin,A2,other
adjoining,A2,other
adjoins,A2,other
adjourn,A2,other
adjourned,A2,other
adjourning,A2,other
adjourns,A2,other
adjudge,A2,other
adjudged,A2,other
adjudicate,A2,other
adjunct,A2,other
adjuncts,A2,other
adjust,A2,other
adjustable,A2,other
adjusted,A2,other
adjuster,A2,other
adjusters,A2,other
adjusting,A2,other
adjustment,A2,other
adjusts,A2,other
adjutant,A2,other
adkins,A2,other
adkinson,A2,other
adkison,A2,other
adkisson,A2,other
adlai,A2,other
adler,A2,other
adlers,A2,other
adley,A2,other
adlon,A2,other
adlong,A2,other
adman,A2,other
admen,A2,other
admin,A2,other
administer,A2,other
admins,A2,other
admira,A2,other
admirable,A2,other
admirably,A2,other
admiral,A2,other
admirals,A2,other
admiralty,A2,other
admiration,A2,other
admire,A2,other
admired,A2,other
admirer,A2,other
